book_id,genre,name,author
4833,Biographies & Memoirs,The Glass Castle , Jeannette Walls
590,Biographies & Memoirs,"Night (The Night Trilogy, #1) ", Elie Wiesel
4264,Biographies & Memoirs,"Angela's Ashes (Frank McCourt, #1) ", Frank McCourt
3361,Biographies & Memoirs,"Eat, Pray, Love ",Elizabeth Gilbert
4535,Biographies & Memoirs,Into Thin Air: A Personal Account of the Mount Everest Disaster, Jon Krakauer
518,Biographies & Memoirs,Tuesdays with Morrie ,Mitch Albom
3781,Biographies & Memoirs,Running with Scissors ,Augusten Burroughs
3190,Biographies & Memoirs, Into the Wild , Jon Krakauer
3147,Biographies & Memoirs,I Know Why the Caged Bird Sings, Maya Angelou
225,Biographies & Memoirs,"A Child Called ""It"" (Dave Pelzer, #1) ",Dave Pelzer
3035,Biographies & Memoirs,"Chickens, Mules and Two Old Fools: Tuck into a Slice of AndalucÌan Life (Old Fools, #1) ", Victoria Twead
99,Biographies & Memoirs,"Persepolis: The Story of a Childhood (Persepolis, #1) ",Marjane Satrapi
3594,Biographies & Memoirs,The Autobiography of Malcolm X , Malcolm X  
4971,Biographies & Memoirs,The Hiding Place: The Triumphant True Story of Corrie Ten Boom, Corrie ten Boom
1381,Biographies & Memoirs,All Creatures Great and Small , James Herriot
3099,Biographies & Memoirs,Confessions , Jean-Jacques Rousseau
45,Biographies & Memoirs,Me Talk Pretty One Day ,David Sedaris  
3269,Biographies & Memoirs,Marley and Me: Life and Love With the World's Worst Dog, John Grogan
2786,Biographies & Memoirs,John Adams ,David McCullough
4484,Biographies & Memoirs,Man's Search for Meaning ,Viktor E. Frankl  
3042,Biographies & Memoirs,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1) ", Art Spiegelman
2865,Biographies & Memoirs,Wild Swans: Three Daughters of China , Jung Chang
1061,Biographies & Memoirs,A Long Way Gone: Memoirs of a Boy Soldier ,Ishmael Beah  
883,Biographies & Memoirs,Confessions, Augustine of Hippo  
847,Biographies & Memoirs,The Last Lecture,Randy Pausch
84,Biographies & Memoirs,Martin Heidegger: Between Good and Evil,R¸diger Safranski  
4222,Biographies & Memoirs,Infidel , Ayaan Hirsi Ali  
4414,Biographies & Memoirs,Bossypants , Tina Fey
239,Biographies & Memoirs,Wild: From Lost to Found on the Pacific Crest Trail , Cheryl Strayed
1964,Biographies & Memoirs,The Diary of a Young Girl ,Anne Frank  
3571,Medical Books,Oral and Maxillofacial Surgery: 7-Volume Set ,
1847,Test Preparation,"Barron's GRE, 21st Edition",Sharon Weiner Green M.A.
1334,Biographies & Memoirs,George Balanchine: The Ballet Maker (Eminent Lives),Robert Gottlieb
4885,Religion & Spirituality,"A Partner in Holiness: Deepening Mindfulness, Practicing Compassion and Enriching Our Lives Through the Wisdom of R. Levi Yitzhak of Berdichev's, Vol. 2  (Institute for Jewish Spirituality)",Rabbi Jonathan P. Slater DMin
1831,Arts & Photography,Construction Scheduling: Principles and Practices (2nd Edition),Jay S. Newitt
4868,Literature & Fiction,"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama",Ann Charters
1940,Engineering & Transportation,Straight on Till Morning: The Life of Beryl Markham,Mary S. Lovell
2491,Science & Math,Diagrammatica: The Path to Feynman Diagrams (Cambridge Lecture Notes in Physics),Martinus Veltman
15,Christian Books & Bibles,Book of Common Prayer 1979: Large Print edition,
3196,Children's Books,A Handful of Stars,Cynthia Lord
61,Self-Help,Almost Anorexic: Is My (or My Loved One's) Relationship with Food a Problem? (The Almost Effect),Ph.D. Jennifer J Thomas
3769,Law,Pre-ANDA Litigation: Strategies and Tactics for Developing a Drug Product and Patent Portfolio,
4540,Politics & Social Sciences,"Creative, Successful, Dyslexic: 23 High Achievers Share Their Stories",
3389,"Health, Fitness & Dieting",Organ Transplantation (Health and Medical Issues Today),David Petechuk
3034,Business & Money,The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power,Steve Fraser
822,Parenting & Relationships,The Multiples Manual: Preparing and Caring for Twins or Triplets,Lynn Lorenz
993,Sports & Outdoors,Oregon High: A Climbing Guide to Nine Cascade Volcanoes,Jeff Thomas
3575,Computers & Technology,HTML & XHTML: The Definitive Guide (6th Edition),Chuck Musciano
4931,"Cookbooks, Food & Wine",Anti Inflammatory Cookbook - 50 Slow Cooker Recipes With Anti - Inflammatory Ingredients: Great For Gout! (Slow Cooker Cookbooks),Kate Marsh
1622,"Crafts, Hobbies & Home",Leopard Geckos (Complete Herp Care),Gerald Merker
540,Travel,Botswana & Its National Heritage,Sandy Grant
4968,Humor & Entertainment,Eat the Rich: A Treatise on Economics,P.  J. O'Rourke
276,Reference,Paw Patrol Phonics Box Set (PAW Patrol) (Step into Reading),Jennifer Liberts
1583,Calendars,,
4208,History,Historical Maps of Civil War Battlefields ,National Geographic Society
1748,Comics & Graphic Novels,,
91,Teen & Young Adult,The Story of the New Orleans Hornets ,Tyler Omoth
1618,Romance,Love in Provence: Romantic Adventures in the South of France,Yvone Lenard
1890,Science & Math,Polymeric Multicomponent Materials: An Introduction,L. H. Sperling
3828,Children's Books,Fantasy League,Mike Lupica
2089,Business & Money,Be the Ultimate Assistant: A celebrity assistant's secrets to working with any high-powered employer,Bonnie Low-Kramen
4667,Christian Books & Bibles,Parables: The Greatest Stories Ever Told (Lifeguide Bible Studies),John White
2884,Travel,Bali Travels Maldives [Japanese Edition],Giniro Natsuo
766,Computers & Technology,Microsoft Windows Security Essentials,Darril Gibson
2390,Science Fiction & Fantasy,Shadowrun: Third Edition (FPR25000),FanPro
3913,"Mystery, Thriller & Suspense",The Crime Wave: Collected Nonfiction (The Ace Performer Collection series),Dashiell Hammett
1127,"Crafts, Hobbies & Home",The English Country House Garden,Marcus Harpur
4203,History,Diary of Anne Frank,Frances Goodrich
1577,Medical Books,ICD-10-CM 2015: The Complete Official Draft Code set,
4772,Religion & Spirituality,The Words of Gandhi,Mahatma Gandhi
322,Children's Books,Shortcut,Donald Crews
2984,"Health, Fitness & Dieting",Medical Mycology: Cellular and Molecular Techniques,
3101,Travel,The First Third,Neal Cassady
888,Humor & Entertainment,Reasons Mommy Drinks,Lyranda Martin-Evans
3744,Medical Books,Manual of High Risk Pregnancy and Delivery,Elizabeth S. Gilbert RNC  MS  FNPc
207,Science & Math,Oscillations and Waves: An Introduction,Richard Fitzpatrick
3836,Law,DAMAGES,Barry Werth
447,Christian Books & Bibles,Sermons on Timothy and Titus,John Calvin
2492,"Cookbooks, Food & Wine",Oils and Vinegars: Discovering and Enjoying Gourmet Oils and Vinegars,Liz Franklin
16,Arts & Photography,"The Handbook of Painted Decoration: The Tools, Materials, and Step-by-Step Techniques of Trompe L'Oeil Painting",Yannick Guegan
2523,Teen & Young Adult,"Stage Plays from the Classics: One-Act Adaptations from Famous Short Stories, Novels, and Plays",Joellen Bland
4479,"Cookbooks, Food & Wine",Runner's World Meals on the Run: 150 energy-packed recipes in 30 minutes or less,Joanna Sayago Golub
1557,"Crafts, Hobbies & Home",Mosaics Inside & Out: Patterns and Inspirations for 17 Mosaic Projects,Doreen Mastandrea
2802,Religion & Spirituality,"She Appears! Encounters with Kwan Yin, Goddess of Compassion",Sandy Boucher
4216,Business & Money,A Companion to Museum Studies,
726,Children's Books,United States History  Early Years (Level 5): Houghton Mifflin Social Studies,HOUGHTON MIFFLIN
408,Science & Math,Indoor Marijuana Horticulture: The Indoor Bible,Jorge Cervantes
1565,Literature & Fiction,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It",David Wong
